RXCUI|GENERIC_RXCUI|TTY|FULL_NAME|RXN_DOSE_FORM|FULL_GENERIC_NAME|BRAND_NAME|DISPLAY_NAME|ROUTE|NEW_DOSE_FORM|STRENGTH|SUPPRESS_FOR|DISPLAY_NAME_SYNONYM|IS_RETIRED|SXDG_RXCUI|SXDG_TTY|SXDG_NAME
1000000|999996|SBD|Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 40 MG Oral Tablet [Tribenzor]|Oral Tablet|Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 40 MG Oral Tablet|TRIBENZOR|TRIBENZOR (Oral Pill)|Oral Pill|Tab|5-12.5-40 mg||||1182147|SBDG|Tribenzor Pill
1000001||SCD|Amlodipine 5 MG / Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Oral Tablet|Oral Tablet|Amlodipine 5 MG / Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Oral Tablet||Amlodipine/Hydrochlorothiazide/Olmesartan (Oral Pill)|Oral Pill|Tab|5-25-40 mg||HCTZ||1152278|SCDG|Amlodipine / Hydrochlorothiazide / olmesartan Pill
1000005|1000001|SBD|Amlodipine 5 MG / Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Oral Tablet [Tribenzor]|Oral Tablet|Amlodipine 5 MG / Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Oral Tablet|TRIBENZOR|TRIBENZOR (Oral Pill)|Oral Pill|Tab|5-25-40 mg||||1182147|SBDG|Tribenzor Pill
1000009||SCD|dimethicone 100 MG/ML / Miconazole Nitrate 20 MG/ML / Zinc Oxide 100 MG/ML Topical Spray|Topical Spray|dimethicone 100 MG/ML / Miconazole Nitrate 20 MG/ML / Zinc Oxide 100 MG/ML Topical Spray||Dimethicone/Miconazole/Zinc Oxide (Topical)|Topical|Spray|10-2-10%||ZNO||1159468|SCDG|dimethicone / Miconazole / Zinc Oxide Topical Product
1000015||SCD|western wheatgrass pollen extract 10000 UNT/ML Injectable Solution|Injectable Solution|western wheatgrass pollen extract 10000 UNT/ML Injectable Solution||Western wheatgrass pollen extract (Injectable)|Injectable|Sol|10,000 unt/ml||||1164606|SCDG|western wheatgrass pollen extract Injectable Product
1000026||SCD|methenamine mandelate 250 MG Oral Tablet|Oral Tablet|methenamine mandelate 250 MG Oral Tablet||Methenamine (Oral Pill)|Oral Pill|Tab|250 mg||||1162216|SCDG|Methenamine Pill
1000028||SCD|methenamine mandelate 350 MG / sodium phosphate 200 MG Oral Tablet|Oral Tablet|methenamine mandelate 350 MG / sodium phosphate 200 MG Oral Tablet||Methenamine/Sodium phosphate (Oral Pill)|Oral Pill|Tab|350-200 mg||||1162213|SCDG|Methenamine / sodium phosphate Pill
1000030||SCD|methenamine mandelate 500 MG / Sodium Phosphate, Monobasic 250 MG Oral Tablet|Oral Tablet|methenamine mandelate 500 MG / Sodium Phosphate, Monobasic 250 MG Oral Tablet||Methenamine/Sodium Phosphate, Monobasic (Oral Pill)|Oral Pill|Tab|500-250 mg||||1162208|SCDG|Methenamine / Sodium Phosphate, Monobasic Pill
1000048||SCD|Doxepin Hydrochloride 10 MG Oral Capsule|Oral Capsule|Doxepin Hydrochloride 10 MG Oral Capsule||Doxepin (Oral Pill)|Oral Pill|Cap|10 mg||||1160769|SCDG|Doxepin Pill
1000054||SCD|Doxepin Hydrochloride 10 MG/ML Oral Solution|Oral Solution|Doxepin Hydrochloride 10 MG/ML Oral Solution||Doxepin (Oral Liquid)|Oral Liquid|Sol|10 mg/ml||||1160767|SCDG|Doxepin Oral Liquid Product
